problem_id,submission_id,technique,bleu_score,explicit_jaccard,implicit_structural,fusion_semantic_score,h_obfuscated,h_deobfuscated,delta_entropy,halstead_effort_gt,halstead_effort_obf,halstead_effort_rec,readability_improvement_pct,testcase_pass_rate,binary_size_reduction_pct
p03365,s978099785,fla_instsub,0.9179129581276223,0.9555555555555556,1.0,0.9822222222222222,5.886697710515437,5.886697710515437,0.0,1276802.6898531718,1276802.6898531718,1276802.6898531718,0.0,100.0,20.33180374161666
p03365,s978099785,instsub,0.9179129581276223,0.9555555555555556,1.0,0.9822222222222222,5.886697710515437,5.886697710515437,0.0,1276802.6898531718,1276802.6898531718,1276802.6898531718,0.0,100.0,2.8005170185264974
p03407,s963581901,bcf,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.822179413568628,5.767702562971272,0.05447685059735541,968990.2969956353,970270.0222594808,978967.9022615427,-0.8964391151451926,100.0,-17.78393351800554
p03407,s963581901,bcf_instsub,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.86228419085929,5.767702562971272,0.09458162788801783,968990.2969956353,1033239.7547104446,978967.9022615427,5.252590427486118,100.0,-17.8393351800554
p03407,s963581901,fla,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.842742106013683,5.767702562971272,0.07503954304241045,968990.2969956353,1071665.539386793,978967.9022615427,8.649866373261556,100.0,-17.78393351800554
p03407,s963581901,fla_bcf,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.883862732134884,5.767702562971272,0.11616016916361183,968990.2969956353,1076408.2439267181,978967.9022615427,9.052359289790903,100.0,-17.8393351800554
p03407,s963581901,fla_bcf_instsub,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.919185535670601,5.767702562971272,0.15148297269932876,968990.2969956353,1152814.042944644,978967.9022615427,15.080154665625384,100.0,-17.894736842105264
p03407,s963581901,fla_instsub,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.881042727250569,5.767702562971272,0.11334016427929683,968990.2969956353,1145987.560976973,978967.9022615427,14.574299442922689,100.0,-17.8393351800554
p03407,s963581901,instsub,0.9368977935009924,0.9342105263157895,1.0,0.9736842105263158,5.8199613007816975,5.767702562971272,0.05225873781042534,968990.2969956353,1028917.3319649291,978967.9022615427,4.854561989737085,100.0,-17.8393351800554
p03423,s774371259,bcf,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.785643695313887,5.730992863063834,0.05465083225005252,939778.3756889774,950258.4877385078,949700.6514571753,0.05870363575074344,100.0,-17.78393351800554
p03423,s774371259,bcf_instsub,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.827220473062389,5.730992863063834,0.09622760999855462,939778.3756889774,1011652.5729214259,949700.6514571753,6.123833727358336,100.0,-17.8393351800554
p03423,s774371259,fla,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.808368706916041,5.730992863063834,0.07737584385220675,939778.3756889774,1040062.4024787779,949700.6514571753,8.688108598699822,100.0,-17.78393351800554
p03423,s774371259,fla_bcf,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.849392603673863,5.730992863063834,0.11839974061002856,939778.3756889774,1054153.5568004495,949700.6514571753,9.908699227872273,100.0,-17.8393351800554
p03423,s774371259,fla_bcf_instsub,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.885999912747001,5.730992863063834,0.15500704968316636,939778.3756889774,1129122.126405319,949700.6514571753,15.890351517541434,100.0,-17.894736842105264
p03423,s774371259,fla_instsub,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.848035346009762,5.730992863063834,0.11704248294592734,939778.3756889774,1112822.8139012628,949700.6514571753,14.658412858397856,100.0,-17.8393351800554
p03423,s774371259,instsub,0.9358112127201079,0.9333333333333333,1.0,0.9733333333333334,5.784977019480949,5.730992863063834,0.053984156417114626,939778.3756889774,998186.1573033707,949700.6514571753,4.857361073527649,100.0,-17.8393351800554
p03441,s577474314,bcf,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,16.960813640442716
p03441,s577474314,bcf_instsub,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,36.409434394321046
p03441,s577474314,fla,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,1.9427764040974922
p03441,s577474314,fla_bcf,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,43.10309489649518
p03441,s577474314,fla_bcf_instsub,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,52.95612400474335
p03441,s577474314,fla_instsub,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,16.93090038887227
p03441,s577474314,instsub,0.9503922912083712,0.9545454545454546,1.0,0.9818181818181818,5.858330110983943,5.858330110983943,0.0,1591421.6841213617,1591421.6841213617,1591421.6841213617,0.0,100.0,-19.70677015955153
p03454,s556690571,bcf,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,22.175141242937855
p03454,s556690571,bcf_instsub,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,42.816390041493776
p03454,s556690571,fla,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,22.175141242937855
p03454,s556690571,fla_bcf,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,49.54212454212454
p03454,s556690571,fla_bcf_instsub,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,49.519230769230774
p03454,s556690571,fla_instsub,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,22.139830508474574
p03454,s556690571,instsub,0.9256955958281047,0.9487179487179487,1.0,0.9794871794871794,6.051536181390161,6.051536181390161,0.0,1658129.0694940477,1658129.0694940477,1658129.0694940477,0.0,100.0,5.0
p03473,s622470157,bcf,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.537242493141874,5.490674018656153,0.04656847448572066,1681470.5082441962,1664354.690584804,1681470.5082441962,-1.0283756074480899,100.0,4.338624338624339
p03473,s622470157,bcf_instsub,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.577246862991938,5.490674018656153,0.08657284433578472,1681470.5082441962,1754397.1506292992,1681470.5082441962,4.156792112831714,100.0,29.69681264576315
p03473,s622470157,fla,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.556223168822118,5.490674018656153,0.06554915016596485,1681470.5082441962,1844085.6761538805,1681470.5082441962,8.8182002611095,100.0,4.338624338624339
p03473,s622470157,fla_bcf,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.599286312354159,5.490674018656153,0.1086122936980054,1681470.5082441962,1829947.0442323617,1681470.5082441962,8.113706702941748,100.0,37.95470144131778
p03473,s622470157,fla_bcf_instsub,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.635694904980943,5.490674018656153,0.14502088632478927,1681470.5082441962,1937464.9815453049,1681470.5082441962,13.21285678654846,100.0,37.931823381377264
p03473,s622470157,fla_instsub,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.594838969794396,5.490674018656153,0.10416495113824276,1681470.5082441962,1949054.7423586305,1681470.5082441962,13.728923477573533,100.0,4.303350970017637
p03473,s622470157,instsub,0.9684062309443305,0.9523809523809523,1.0,0.9809523809523809,5.533216832862782,5.490674018656153,0.04254281420662842,1681470.5082441962,1767732.2015852914,1681470.5082441962,4.879794194150917,100.0,-16.745587602238484
p03485,s385599242,bcf,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.533537862506894,5.487061378727684,0.04647648377921065,1696880.952498277,1676256.628472397,1696880.952498277,-1.2303798640113457,100.0,5.118249205788916
p03485,s385599242,bcf_instsub,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.573592865228608,5.487061378727684,0.08653148650092479,1696880.952498277,1764598.9215962102,1696880.952498277,3.837584182397514,100.0,19.61136023916293
p03485,s385599242,fla,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.552813552440264,5.487061378727684,0.06575217371258013,1696880.952498277,1858020.173790883,1696880.952498277,8.672630338767357,100.0,5.118249205788916
p03485,s385599242,fla_bcf,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.595787313766946,5.487061378727684,0.10872593503926264,1696880.952498277,1840684.8982689574,1696880.952498277,7.812523800565678,100.0,30.28260305937257
p03485,s385599242,fla_bcf_instsub,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.632224720178656,5.487061378727684,0.14516334145097254,1696880.952498277,1947114.8293797893,1696880.952498277,12.851521292209503,100.0,44.88834255275558
p03485,s385599242,fla_instsub,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.591409913487353,5.487061378727684,0.10434853475966932,1696880.952498277,1961658.4847976302,1696880.952498277,13.497636533133258,100.0,5.082950935404165
p03485,s385599242,instsub,0.962788740086389,0.926829268292683,1.0,0.9707317073170731,5.529601043196666,5.487061378727684,0.04253966446898261,1696880.952498277,1781038.0256520067,1696880.952498277,4.725169925719096,100.0,-15.855234812580784
p03554,s760807374,bcf,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,16.80622009569378
p03554,s760807374,bcf_instsub,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,27.82676348547718
p03554,s760807374,fla,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,1.8002117896223084
p03554,s760807374,fla_bcf,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,43.003482892849824
p03554,s760807374,fla_bcf_instsub,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,48.39606897830521
p03554,s760807374,fla_instsub,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,1.7649135192375573
p03554,s760807374,instsub,0.9308511773130248,0.9548872180451128,1.0,0.9819548872180451,5.886290469949748,5.886290469949748,0.0,1440590.7445625856,1440590.7445625856,1440590.7445625856,0.0,100.0,-19.913793103448278
p03563,s603548441,bcf,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.428167936241772,5.372053146550643,0.056114789691129374,1153237.0182695233,1138502.741376501,1153237.0182695233,-1.294180185741831,100.0,23.932227320861276
p03563,s603548441,bcf_instsub,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.476627849545242,5.372053146550643,0.10457470299459892,1153237.0182695233,1208409.5531914893,1153237.0182695233,4.565714891631875,100.0,44.1016333938294
p03563,s603548441,fla,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.45186005877872,5.372053146550643,0.07980691222807668,1153237.0182695233,1280658.06037073,1153237.0182695233,9.949653701029327,100.0,7.152089616544593
p03563,s603548441,fla_bcf,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.502893407354412,5.372053146550643,0.13084026080376887,1153237.0182695233,1269260.2727548166,1153237.0182695233,9.141013626265568,100.0,44.1016333938294
p03563,s603548441,fla_bcf_instsub,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.546362507213472,5.372053146550643,0.17430936066282943,1153237.0182695233,1354659.5408850706,1153237.0182695233,14.868866791721508,100.0,50.629434653238725
p03563,s603548441,fla_instsub,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.498398155431647,5.372053146550643,0.12634500888100408,1153237.0182695233,1363315.4648535312,1153237.0182695233,15.40937897352891,100.0,7.109004739336493
p03563,s603548441,instsub,0.9603141457302973,0.9411764705882353,1.0,0.9764705882352941,5.424133179350011,5.372053146550643,0.05208003279936779,1153237.0182695233,1219019.2875189986,1153237.0182695233,5.3963271888304805,100.0,7.109004739336493
p03591,s609556207,bcf,0.9721021803366059,0.9487179487179487,1.0,0.9794871794871794,5.574963544760361,5.528104020136683,0.04685952462367737,1556702.233084812,1559216.1519842094,1556702.233084812,0.1612296599286912,100.0,5.7868736767819335
